House # ,Waste,Organic,Recycle
I-5213,Sat,"Sat,Tue",Sat
I-5214,Sat,"Sat,Tue",Sat
I-5215,Sat,"Sat,Tue",Sat
I-5216,Sat,"Sat,Tue",Sat
I-5217,Sat,"Sat,Tue",Sat
I-5218,Sat,"Sat,Tue",Sat
I-5219,Sat,"Sat,Tue",Sat
I-5220,Sat,"Sat,Tue",Sat
I-5221,Sat,"Sat,Tue",Sat
I-5222,Sat,"Sat,Tue",Sat
I-5223,Sat,"Sat,Tue",Sat
I-5224,Sat,"Sat,Tue",Sat
I-5225,Sat,"Sat,Tue",Sat
I-5226,Sat,"Sat,Tue",Sat
I-5227,Sat,"Sat,Tue",Sat
I-5228,Sat,"Sat,Tue",Sat
I-5229,Sat,"Sat,Tue",Sat
I-5230,Sat,"Sat,Tue",Sat
I-5231,Sat,"Sat,Tue",Sat
I-5232,Sat,"Sat,Tue",Sat
I-5233,Sat,"Sat,Tue",Sat
I-5234,Sat,"Sat,Tue",Sat
I-5235,Sat,"Sat,Tue",Sat
I-5236,Sat,"Sat,Tue",Sat
I-5237,Sat,"Sat,Tue",Sat
I-5238,Sat,"Sat,Tue",Sat
I-5239,Sat,"Sat,Tue",Sat
I-5240,Sat,"Sat,Tue",Sat
I-5241,Sat,"Sat,Tue",Sat
I-5242,Sat,"Sat,Tue",Sat
I-5243,Sat,"Sat,Tue",Sat
I-5244,Sat,"Sat,Tue",Sat
I-5245,Sat,"Sat,Tue",Sat
I-5246,Sat,"Sat,Tue",Sat
I-5247,Sat,"Sat,Tue",Sat
I-5249,Sat,"Sat,Tue",Sat
I-5251,Sat,"Sat,Tue",Sat
I-5253,Sat,"Sat,Tue",Sat
I-5255,Sat,"Sat,Tue",Sat
I-5257,Sat,"Sat,Tue",Sat
I-5259,Sat,"Sat,Tue",Sat
I-5261,Sat,"Sat,Tue",Sat
I-5263,Sat,"Sat,Tue",Sat
I-5265,Sat,"Sat,Tue",Sat
I-5267,Sat,"Sat,Tue",Sat
I-5269,Sat,"Sat,Tue",Sat
I-5271,Sat,"Sat,Tue",Sat
I-5273,Sat,"Sat,Tue",Sat
I-5275,Sat,"Sat,Tue",Sat
I-5277,Sat,"Sat,Tue",Sat
I-5279,Sat,"Sat,Tue",Sat
I-5281,Sat,"Sat,Tue",Sat
I-5283,Sat,"Sat,Tue",Sat
I-5285,Sat,"Sat,Tue",Sat
I-5287,Sat,"Sat,Tue",Sat
I-5289,Sat,"Sat,Tue",Sat
I-5291,Sat,"Sat,Tue",Sat
I-5293,Sat,"Sat,Tue",Sat
I-5295,Sat,"Sat,Tue",Sat
I-5297,Sat,"Sat,Tue",Sat
I-5299,Sat,"Sat,Tue",Sat
I-5301,Sat,"Sat,Tue",Tue
I-5303 AB,Sat,"Sat,Tue",Tue
I-5303 CD,Sat,"Sat,Tue",Tue
I-5305,Sat,"Sat,Tue",Tue
